"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Note board config is a library module, not an HTTP endpoint.","0","test_library_only","ai_generated","2026-05-30","skipped","2026-05-30","TestNoteBoardConfig","test_note_board_config_20260524","",""
"","2367","test_blog_article_has_navbar[chromium]","e2e","2026-05-30","passed","2026-05-30","TestBlogArticlePage","test_blog_reading","",""
"","11","test_create_requires_admin","api","2026-05-30","passed","2026-05-30","TestRecipeCRUD","test_recipes","",""
"","2006","test_homepage_has_navbar[chromium]","e2e","2026-05-30","passed","2026-05-30","TestHomepage","test_blog_reading","",""
"","15","test_post_stats_missing_slug","api","2026-05-30","passed","2026-05-30","TestAnalyticsPost","test_analytics","",""
"Guestbook renders the note-board canvas (even when no notes exist).","3439","test_guestbook_note_board_renders[chromium]","e2e","2026-05-30","passed","2026-05-30","TestGuestbookPage","test_blog_reading","",""
"","1334","test_spotify_page_has_main[chromium]","e2e","2026-05-30","passed","2026-05-30","TestSpotifyPage","test_content_pages","",""
"","101","test_list_only_published_for_public","api","2026-05-30","passed","2026-05-30","TestRecipeList","test_recipes","",""
"","303","test_search_result_fields","api","2026-05-30","passed","2026-05-30","TestMemoSearch","test_note_boards","",""
"","113","test_app_dir_not_world_writable[docker://arthurs-blog-test]","infra","2026-05-30","passed","2026-05-30","TestSecurity","test_container","",""
"","118","test_threads_list_unauthorized_returns_401_or_403","ai_generated","2026-05-30","failed","2026-05-30","TestAgentAuth","test_agent_20260528","",""
"","298","test_search_cache_control_is_private","api","2026-05-30","passed","2026-05-30","TestMemoSearch","test_note_boards","",""
"","7","test_search_empty_query_returns_empty","api","2026-05-30","passed","2026-05-30","TestMemoSearch","test_note_boards","",""
"","321","test_memo_board_sort_priority","api","2026-05-30","passed","2026-05-30","TestMemoBoardList","test_note_boards","",""
"","2932","test_category_page_loads[chromium]","e2e","2026-05-30","passed","2026-05-30","TestCategoryPage","test_listing_pages","",""
"","332","test_memo_board_pagination_limit","api","2026-05-30","passed","2026-05-30","TestMemoBoardList","test_note_boards","",""
"","10767","test_now_watching_page_has_content[chromium]","e2e","2026-05-30","passed","2026-05-30","TestNowWatchingPage","test_content_pages","",""
"","388","test_get_nonexistent_run_returns_404","ai_generated","2026-05-30","passed","2026-05-30","TestAgentRuns","test_agent_20260528","",""
"","373","test_threads_list_returns_200","ai_generated","2026-05-30","failed","2026-05-30","TestAgentThreads","test_agent_20260528","",""
"","305","test_create_duplicate_slug_returns_409","api","2026-05-30","passed","2026-05-30","TestRecipeCRUD","test_recipes","",""
"GET /api/changelog?view=all should return 200 with entries array.","167","test_get_changelog_all_returns_200","ai_generated","2026-05-30","passed","2026-05-30","TestChangelog","test_changelog_20260525","",""
"","16","test_overview_7d_range","api","2026-05-30","passed","2026-05-30","TestAnalyticsOverview","test_analytics","",""
"","1345","test_memo_page_accessible_on_mobile[chromium]","e2e","2026-05-30","passed","2026-05-30","TestMobileViewport","test_mobile","",""
"","14","test_overview_invalid_range_falls_back_to_7d","api","2026-05-30","passed","2026-05-30","TestAnalyticsOverview","test_analytics","",""
"POST /api/memo/check-reminders without token should return 401, or 200/500 if not configured.","300","test_check_reminders_unauthorized","ai_generated","2026-05-30","passed","2026-05-30","TestMemoCheckReminders","test_memo_20260524","",""
"","125","test_tags_returns_array","api","2026-05-30","passed","2026-05-30","TestMemoTags","test_note_boards","",""
"","302","test_memo_board_archived_filter","api","2026-05-30","passed","2026-05-30","TestMemoBoardList","test_note_boards","",""
"","16","test_overview_with_timezone","api","2026-05-30","passed","2026-05-30","TestAnalyticsOverview","test_analytics","",""
